x y xerr yerr logsfr logsfrerr d25 n pobs
8.166 40.21911457662818 0.33541019662496846 -1.0031185008954895 -1.77719279762443 0.3 27.111356662495343 1.0 0.209229333184921
8.707 40.19790945716704 0.35564167359858156 -1.003120151093593 -1.3887889999999992 0.4242640687119285 34.68576284434308 1.0 0.4066211025934847
9.305 40.6188337824267 0.32938731001664284 -1.0030877177955997 -0.8667350000000003 0.4242640687119285 33.248402854705894 1.0 0.6061483344289633
9.89 40.58705111250047 0.32938731001664284 -1.0030901431792345 -1.5832724121437778 0.3 65.18553741702394 1.0 0.7425821671222999
8.229 40.06005622293566 0.3950303785786607 -1.0031309216626185 -2.0954674207271466 0.3 28.585859208324944 1.0 0.2290863382060996
8.617 40.60806392548262 0.32938731001664284 -1.0030885392330893 -1.3130702077493908 0.3 27.93516561137754 1.0 0.3727443217318777
8.779 39.76273434245558 0.48179767537836876 -1.0031544066654035 -2.5275892584826067 0.3 53.352067071476895 4.0 0.4279359778971788
8.778 40.480022728416145 0.32938731001664284 -1.0030983387713235 -1.8359009244019262 0.3 15.74531126030665 4.0 0.4276399379624054
9.278 40.66116051928419 0.32938731001664284 -1.0030844936834804 -0.4649777928687513 0.3 23.83149296816642 4.0 0.5997796022168767
8.528 40.39365018852568 0.32938731001664284 -1.0031049844276845 -1.8078460953709694 0.3 43.76487981674078 4.0 0.33567264196144486
8.885 40.61355971185344 0.32938731001664284 -1.0030881200043995 -0.6780702857687189 0.3 34.60598780353505 1.0 0.4593162109831731
8.282 40.53798103369929 0.32938731001664284 -1.0030938952829116 -1.3925771611615332 0.3 23.022434729536727 1.0 0.24579143766836156
8.592 40.262702990197226 0.3414220262373241 -1.0031151142886379 -2.101110987040073 0.3 32.445259376734846 4.0 0.3623309285379358
8.876 39.31635061148075 0.32938731001664284 -1.0031903349249647 -0.8132105674619368 0.3 54.130445342339804 4.0 0.45665185157021126
9.663 39.14231781257635 0.32938731001664284 0.18225660610668148 -1.741903698875774 0.3 38.38409012895889 4.0 0.687634625088616
8.144 40.031018253762134 0.4144828102587609 -1.0031331999075264 -2.3909055363850342 0.3 38.20773125447496 1.0 0.20229514095530288
